unit,supplier,trade_name,value,date,category,establishment
Não identificada,S.A.,MOVIDA RENT A CAR,5747.53,08/05/2026,transporte,S.A.
Não identificada,E TURISMO,QUERO PASSAGEM VIAGEM E TURISMO,236.11,08/05/2026,transporte,E TURISMO
Não identificada,E TURISMO,QUERO PASSAGEM VIAGEM E TURISMO,958.8,08/05/2026,transporte,E TURISMO
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,69.6,08/05/2026,outros,LTDA
Fortaleza,S.A.,MOVIDA RENT A CAR,4308.55,08/05/2026,transporte,- FORTALEZAS.A.
Luís Gomes,TECH LTDA -,GASTRO TECH,75.0,09/05/2026,energia,TECH LTDA - LUIS GOMES
Fortaleza,VAZ     LTDA -,MARCOS VAZ,1450.0,09/05/2026,outros,VAZ     LTDA - FORTALEZA
Fortaleza,ARAUJO LTDA -,VALDIR ARAUJO,2499.5,09/05/2026,outros,ARAUJO LTDA - FORTALEZA
Fortaleza,DANTAS LTDA -,OTAVIO DANTAS,650.0,09/05/2026,outros,DANTAS LTDA - FORTALEZA
Fortaleza,LTDA -,ORIGO CONSULTORIA,10000.0,09/05/2026,outros,LTDA - FORTALEZA
Fortaleza,DINACIO DE SOUSA FERNANDES,DINACIO DE SOUSA FERNANDES,700.0,09/05/2026,outros,- FORTALEZA
Maranguape,INDUSTRIAL LTDA -,CAROA,3394.0,09/05/2026,outros,INDUSTRIAL LTDA - MARANGUAPE
Cocalinho,SAO LUIZ LTDA -,MEGA SAO LUIZ,1041.6,09/05/2026,alimentos,SAO LUIZ LTDA - COCALINHO
Não identificada,GRANDE,ESTANCIA JOIA COMERCIO DE HORTIFRUT,3354.23,09/05/2026,alimentos,GRANDE
Campo Grande,LTDA -,MULTFRIOS DISTRIBUIDORA,1897.8,09/05/2026,alimentos,LTDA - CAMPO GRANDE
Maranguape,INDUSTRIAL LTDA -,GT EMBALAGENS,56.0,09/05/2026,alimentos,INDUSTRIAL LTDA - MARANGUAPE
Não identificada,ATACADO E VAREJO,TR ALIMENTOS DISTRIBUIDORA ATACADO E VAR,720.0,09/05/2026,alimentos,ATACADO E VAREJO
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,630.0,09/05/2026,alimentos,MARANGUAPE
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,230.0,09/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Maranguape,LTDA -,CASA DOS PARAFUSOS,5.0,09/05/2026,outros,LTDA - MARANGUAPE
Luís Gomes,BORACHARIA SÃO FRANCISCO,BORACHARIA SÃO FRANCISCO,40.0,09/05/2026,pessoa_fisica,- LUIS GOMES
Cocalinho,T & T COMER CIO E REPRESENTAÇÃO,T & T COMER CIO E REPRESENTAÇÃO,69959.1,09/05/2026,outros,- COCALINHO
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,09/05/2026,combustivel,LTDA GRANDE
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,09/05/2026,combustivel,LTDA GRANDE
Maranguape,LTDA LTDA -,A M DIESEL LTDA,331.78,09/05/2026,combustivel,LTDA LTDA - MARANGUAPE
Maranguape,BRASIL LTDA -,POSTO BRASIL,366.51,09/05/2026,combustivel,BRASIL LTDA - MARANGUAPE
Maranguape,AIRLINES LTDA -,LATAM AIRLINES,1658.3,09/05/2026,outros,AIRLINES LTDA - MARANGUAPE
Não identificada,LTDA,EXPRESSO GUANABARA LTDA,663.64,09/05/2026,transporte,LTDA
Maranguape,EMPRESA MOREIRA LTDA,EMPRESA MOREIRA LTDA,240.0,09/05/2026,outros,- MARANGUAPE
Não identificada,LTDA,EXPRESSO GUANABARA LTDA,205.72,09/05/2026,transporte,LTDA
Maranguape,PROGRESSO LTDA -,POSTO PROGRESSO,299.99,09/05/2026,combustivel,PROGRESSO LTDA - MARANGUAPE
Cocalinho,LTDA -,AUTO POSTO KARAJAS,340.5,09/05/2026,combustivel,LTDA - COCALINHO
Cocalinho,LTDA -,AUTO POSTO KARAJAS,356.6,09/05/2026,combustivel,LTDA - COCALINHO
Cocalinho,SAO LUIZ LTDA -,MEGA SAO LUIZ,187.31,09/05/2026,alimentos,SAO LUIZ LTDA - COCALINHO
Ipaumirim,AUTO POSTO BOM PREÇO,AUTO POSTO BOM PREÇO,307.56,09/05/2026,combustivel,- IPAUMIRIM
Ipaumirim,AUTO POSTO BOM PREÇO,AUTO POSTO BOM PREÇO,3102.78,09/05/2026,combustivel,- IPAUMIRIM
Não identificada,DA CRUZ,HERBERT WAGNER NOVAIS DA CRUZ,358.0,10/05/2026,outros,DA CRUZ
Cocalinho,AIRLINES LTDA -,LATAM AIRLINES,824.74,10/05/2026,outros,AIRLINES LTDA - COCALINHO
Ipaumirim,SUPERMERCADO BOM PREÇO,SUPERMERCADO BOM PREÇO,441.05,10/05/2026,alimentos,IPAUMIRIM
Ipaumirim,SUPERMERCADO BOM PREÇO,SUPERMERCADO BOM PREÇO,719.1,10/05/2026,alimentos,IPAUMIRIM
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,2969.54,10/05/2026,outros,LTDA
Ipaumirim,LTDA -,HORTIFRUTI PAI ETERNO,111.7,10/05/2026,alimentos,LTDA - IPAUMIRIM
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,7191.6,10/05/2026,outros,LTDA
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,40.95,10/05/2026,outros,LTDA
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,1662.05,10/05/2026,outros,LTDA
Não identificada,DE ALIMENTOS,L F S COMERCIO E IMPORTACAO DE ALIMENTOS,61.98,10/05/2026,alimentos,DE ALIMENTOS
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,228.0,10/05/2026,alimentos,MARANGUAPE
Ipaumirim,AUTO POSTO BOM PREÇO,AUTO POSTO BOM PREÇO,286.18,10/05/2026,combustivel,- IPAUMIRIM
Ipaumirim,AUTO POSTO BOM PREÇO,AUTO POSTO BOM PREÇO,906.85,10/05/2026,combustivel,- IPAUMIRIM
Não identificada,DE FATIMA,POSTO NOSSA SENHORA DE FATIMA,298.69,10/05/2026,combustivel,DE FATIMA
Campo Grande,CONDOMINIO RESID BARILOCHE,CONDOMINIO RESID BARILOCHE,380.0,10/05/2026,outros,- CAMPO GRANDE
Cocalinho,LIVRE LTDA -,MERCADO LIVRE,119.88,10/05/2026,outros,LIVRE LTDA - COCALINHO
Cocalinho,LTDA -,AUTO POSTO KARAJAS,657.98,10/05/2026,combustivel,LTDA - COCALINHO
Fortaleza,LTDA -,EL SHADDAI HOTEL,844.4,10/05/2026,servicos,LTDA - FORTALEZA
Fortaleza,LTDA -,BOOKING.COM BRASIL,348.11,10/05/2026,outros,LTDA - FORTALEZA
Fortaleza,LTDA -,AMERICAN EXPRESS,18.73,10/05/2026,outros,LTDA - FORTALEZA
Fortaleza,IPHONES LTDA -,MAJOR IPHONES,448.0,10/05/2026,outros,IPHONES LTDA - FORTALEZA
Não identificada,GRANDE,PREFEITURA MUNICIPAL DE CAMPO GRANDE,1246.35,10/05/2026,outros,GRANDE
Não identificada,POSTO ALTERNATIVA DE COMBUSTIVEL E SERVI,POSTO ALTERNATIVA DE COMBUSTIVEL E SERVI,200.0,10/05/2026,combustivel,
Fortaleza,ALELOINDUSTRIAL LTDA -,,482.41,10/05/2026,outros,ALELOINDUSTRIAL LTDA - FORTALEZA
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,3456.0,10/05/2026,alimentos,MARANGUAPE
Fortaleza,S.A       LTDA -,CLARO S.A,127.9,11/05/2026,outros,S.A       LTDA - FORTALEZA
Fortaleza,AZUL LINHAS AEREAS BRASILEIRAS,AZUL LINHAS AEREAS BRASILEIRAS,793.44,11/05/2026,transporte,- FORTALEZA
Não identificada,POSTO ALTERNATIVA DE COMBUSTIVEL E SERVI,POSTO ALTERNATIVA DE COMBUSTIVEL E SERVI,219.82,11/05/2026,combustivel,
Fortaleza,MANOEL QUEIROGA DE OLIVEIRA,MANOEL QUEIROGA DE OLIVEIRA,10000.0,11/05/2026,outros,FORTALEZA
Cocalinho,LTDA -,FG DESIGN FARDAMENTOS,1692.0,11/05/2026,outros,LTDA - COCALINHO
Ipaumirim,FRUTAS LTDA -,TARCIO FRUTAS,6489.9,11/05/2026,alimentos,FRUTAS LTDA - IPAUMIRIM
Não identificada,DISTRIBUIDORA LTDA,NACIONAL GAS BUTANO DISTRIBUIDORA LTDA,1781.26,11/05/2026,alimentos,DISTRIBUIDORA LTDA
Ipaumirim,LTDA -,HORTIFRUTI PAI ETERNO,1459.5,11/05/2026,alimentos,LTDA - IPAUMIRIM
Não identificada,PROCESSADOS,ALIMEMPRO PRODUTOS PROCESSADOS,405.0,11/05/2026,outros,PROCESSADOS
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,35.0,11/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,104.0,11/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,715.0,11/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,210.0,11/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Cocalinho,CACIO FREIRES DOS SANTOS,CACIO FREIRES DOS SANTOS,350.0,11/05/2026,outros,- COCALINHO
Cocalinho,LTDA -,TIAGO DA MATA COUTINHO,500.0,11/05/2026,outros,LTDA - COCALINHO
Não identificada,LTDA,ATLANTICA AGROINDUSTRIAL LTDA,720.0,11/05/2026,outros,LTDA
Não identificada,SAM FRIOS,SAM FRIOS,1120.0,11/05/2026,alimentos,ME
Ipaumirim,WALMOR SORVETES E GELADOS,WALMOR SORVETES E GELADOS,720.0,11/05/2026,alimentos,IPAUMIRIM
Ipaumirim,OVOS       LTDA -,CAJÁ OVOS,2250.0,11/05/2026,alimentos,OVOS       LTDA - IPAUMIRIM
Maranguape,INDUSTRIAL LTDA -,GT EMBALAGENS,216.0,11/05/2026,alimentos,INDUSTRIAL LTDA - MARANGUAPE
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,708.0,11/05/2026,alimentos,MARANGUAPE
Ipaumirim,NUNES-,DAMIÃO PEREIRA NUNES,747.6,11/05/2026,outros,NUNES- IPAUMIRIM
Fortaleza,LTDA.,J. E. COMERCIO DE EMBALAGENS LTDA.,330.0,11/05/2026,alimentos,- FORTALEZA LTDA.
Não identificada,CHAVES (VERDURÃO),JOAQUIM RIVELINO DE SOUSA CHAVES,156.0,11/05/2026,outros,CHAVES (VERDURÃO)
Não identificada,CHAVES (VERDURÃO),JOAQUIM RIVELINO DE SOUSA CHAVES,62.0,11/05/2026,outros,CHAVES (VERDURÃO)
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,200.0,11/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Não identificada,CERTO LTDA,SUPER MERCADO COMPRE CERTO LTDA,32.79,11/05/2026,outros,CERTO LTDA
Maranguape,LTDA LTDA -,A M DIESEL LTDA,41.9,11/05/2026,combustivel,LTDA LTDA - MARANGUAPE
Maranguape,FARMACIA POUPE BRASIL,FARMACIA POUPE BRASIL,12.0,11/05/2026,outros,- MARANGUAPE
Campo Grande,HERBERT WAGNER NOVAIS,HERBERT WAGNER NOVAIS,1108.0,11/05/2026,outros,- CAMPO GRANDE
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,358.4,11/05/2026,outros,LTDA
Maranguape,LTDA -,BODEGAO ATACAREJO,804.8,11/05/2026,alimentos,LTDA - MARANGUAPE
Fortaleza,S.A.-,BRADESCO EST UNIF,1457.48,11/05/2026,outros,S.A.- FORTALEZA
Fortaleza,S.A.-,BRADESCO EST UNIF,801.06,11/05/2026,outros,S.A.- FORTALEZA
Campo Grande,INDUSTRIAL LTDA -,ENERGISA,265.94,11/05/2026,energia,INDUSTRIAL LTDA - CAMPO GRANDE
Fortaleza,SEFAZ INDUSTRIAL LTDA -,SEFAZ,271.29,11/05/2026,outros,SEFAZ INDUSTRIAL LTDA - FORTALEZA
Maranguape,LTDA -,ANA CAROLINA LEAL,320.0,11/05/2026,outros,LTDA - MARANGUAPE
Fortaleza,MARIA DA CONCEICAO PEDROSA,MARIA DA CONCEICAO PEDROSA,2379.34,11/05/2026,outros,FORTALEZA
Não identificada,LTDA,SUPERMERCADO COMETA LTDA,74.2,11/05/2026,alimentos,LTDA
Não identificada,LTDA,SUPERMERCADO COMETA LTDA,103.74,11/05/2026,alimentos,LTDA
Não identificada,LTDA,SUPERMERCADO COMETA LTDA,12.74,11/05/2026,alimentos,LTDA
Não identificada,MAIA,CASSIA HELEN FERREIRA MAIA,100.0,11/05/2026,outros,MAIA
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,167.62,11/05/2026,combustivel,LTDA GRANDE
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,11/05/2026,combustivel,LTDA GRANDE
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,11/05/2026,combustivel,LTDA GRANDE
Cocalinho,INDUSTRIAL LTDA -,CONSTRUKASA,74.0,11/05/2026,servicos,INDUSTRIAL LTDA - COCALINHO
Cocalinho,INDUSTRIAL LTDA -,CONSTRUKASA,8.4,11/05/2026,servicos,INDUSTRIAL LTDA - COCALINHO
Maranguape,PROGRESSO LTDA -,POSTO PROGRESSO,194.11,11/05/2026,combustivel,PROGRESSO LTDA - MARANGUAPE
Maranguape,BRASIL LTDA -,POSTO BRASIL,302.96,11/05/2026,combustivel,BRASIL LTDA - MARANGUAPE
Maranguape,BRASIL LTDA -,POSTO BRASIL,236.63,11/05/2026,combustivel,BRASIL LTDA - MARANGUAPE
Maranguape,LTDA LTDA -,A M DIESEL LTDA,329.12,11/05/2026,combustivel,LTDA LTDA - MARANGUAPE
Maranguape,PROGRESSO LTDA -,POSTO PROGRESSO,745.72,11/05/2026,combustivel,PROGRESSO LTDA - MARANGUAPE
Campo Grande,VIVOINDUSTRIAL LTDA -,VIVO,113.13,11/05/2026,outros,VIVOINDUSTRIAL LTDA - CAMPO GRANDE
Campo Grande,MAIS LTDA -,INTERNET MAIS,129.9,11/05/2026,servicos,MAIS LTDA - CAMPO GRANDE
Não identificada,MABELY,MABELY,112.5,11/05/2026,outros,
Fortaleza,AIRLINES LTDA -,LATAM AIRLINES,1292.99,11/05/2026,outros,AIRLINES LTDA - FORTALEZA
Fortaleza,MILHAS       LTDA -,MAX MILHAS,1705.09,11/05/2026,transporte,MILHAS       LTDA - FORTALEZA
Fortaleza,TATIANA ALVES DE QUEIROGA,TATIANA ALVES DE QUEIROGA,2500.0,12/05/2026,outros,- FORTALEZA
Fortaleza,SEGUROLTDA -,BRADESCO SEGURO,227.21,12/05/2026,outros,SEGUROLTDA - FORTALEZA
Não identificada,GOMES,FRANCINILDO MENDES DE OLIVEIRA,340.0,12/05/2026,outros,GOMES
Não identificada,GOMES LTDA,VO ITA FRIOS,4850.24,12/05/2026,alimentos,GOMES LTDA
Não identificada,GOMES LTDA,VO ITA FRIOS,11667.46,12/05/2026,alimentos,GOMES LTDA
Não identificada,LTDA,ATLANTICA AGROINDUSTRIAL LTDA,494.0,12/05/2026,outros,LTDA
Não identificada,GOMES LTDA,VO ITA FRIOS,3648.11,12/05/2026,alimentos,GOMES LTDA
Fortaleza,IRACILDA DE LIMA ROSSAS,IRACILDA DE LIMA ROSSAS,346.2,12/05/2026,pessoa_fisica,- FORTALEZA
Não identificada,LTDA,CWM INDUSTRIA ALIMENTICIA LTDA,5422.38,12/05/2026,outros,LTDA
Cocalinho,SAO LUIZ LTDA -,MEGA SAO LUIZ,1562.4,12/05/2026,alimentos,SAO LUIZ LTDA - COCALINHO
Não identificada,COMERCIO VAREJISTA,SUPERMECADO AVENIDA COMERCIO VAREJISTA,546.7,12/05/2026,alimentos,COMERCIO VAREJISTA
Não identificada,MABELY,MABELY,4762.0,12/05/2026,outros,
Não identificada,COMERCIO VAREJISTA,SUPERMECADO AVENIDA COMERCIO VAREJISTA,751.89,12/05/2026,alimentos,COMERCIO VAREJISTA
Não identificada,GOMES LTDA,VO ITA FRIOS,113.62,12/05/2026,alimentos,GOMES LTDA
Não identificada,MABELY,MABELY,2228.0,12/05/2026,outros,
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,276.0,12/05/2026,outros,LTDA
Não identificada,INDUSTRIA E COMERCIO DE DOCES VALE VERDE,INDUSTRIA E COMERCIO DE DOCES VALE VERDE,1577.0,12/05/2026,outros,
Luís Gomes,OVOS         LTDA -,UNA OVOS,570.0,12/05/2026,alimentos,OVOS         LTDA - LUIS GOMES
Não identificada,DE FATIMA,HOTEL NOSSA SENHORA DE FATIMA,3838.5,12/05/2026,servicos,DE FATIMA
Não identificada,SANTOS,WMA HORTALIÇAS,3890.0,12/05/2026,alimentos,SANTOS
Não identificada,LTDA,SUPERMERCADO OLIVEIRA LTDA,41.86,12/05/2026,alimentos,LTDA
Não identificada,GRANDE,ESTANCIA JOIA COMERCIO DE HORTIFRUT,440.0,12/05/2026,alimentos,GRANDE
Ipaumirim,TELECOM  LTDA -,NETLINE TELECOM,49.55,12/05/2026,servicos,TELECOM  LTDA - IPAUMIRIM
Não identificada,GRANDE,H C INDUSTRIA DE ALIMENTOS LTDA,1132.67,12/05/2026,alimentos,GRANDE
Não identificada,SILVA,SUBERLANDIO ARAUJO DA SILVA,130.0,12/05/2026,outros,SILVA
Maranguape,LOCALIZA,LOCALIZA,136.67,12/05/2026,transporte,MARANGUAPE
Maranguape,LOCALIZA,LOCALIZA,4372.7,12/05/2026,transporte,MARANGUAPE
Cocalinho,,,240.0,12/05/2026,outros,- COCALINHO
Luís Gomes,RONICLEI MARTINS DUARTE,RONICLEI MARTINS DUARTE,2307.0,12/05/2026,pessoa_fisica,- LUIS GOMES
Não identificada,DE ALIMENTOS,HUNGRIA IND COMERCIO DE ALIMENTOS,1860.8,12/05/2026,alimentos,DE ALIMENTOS
Cocalinho,S. A LTDA -,ATACADAO,731.1,12/05/2026,alimentos,S. A LTDA - COCALINHO
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,1558.0,12/05/2026,outros,LTDA
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,168.0,12/05/2026,outros,LTDA
Ipaumirim,LTDA -,CASA DAS EMBALAGENS,281.0,12/05/2026,alimentos,LTDA - IPAUMIRIM
Ipaumirim,LTDA -,CASA DAS EMBALAGENS,600.0,12/05/2026,alimentos,LTDA - IPAUMIRIM
Não identificada,SAM FRIOS,SAM FRIOS,1119.98,12/05/2026,alimentos,ME
Não identificada,DE ALIMENTOS LTDA,SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA,913.53,12/05/2026,alimentos,DE ALIMENTOS LTDA
Não identificada,DE ALIMENTOS LTDA,SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA,206.16,12/05/2026,alimentos,DE ALIMENTOS LTDA
Não identificada,DE ALIMENTOS LTDA,SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA,149.4,12/05/2026,alimentos,DE ALIMENTOS LTDA
Não identificada,DE ALIMENTOS LTDA,SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA,45.89,12/05/2026,alimentos,DE ALIMENTOS LTDA
Não identificada,DE ALIMENTOS LTDA,SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA,1314.98,12/05/2026,alimentos,DE ALIMENTOS LTDA
Fortaleza,VILA      LTDA -,POSTO VILA,240.89,12/05/2026,combustivel,VILA      LTDA - FORTALEZA
Maranguape,INDUSTRIAL LTDA -,GT EMBALAGENS,21.0,12/05/2026,alimentos,INDUSTRIAL LTDA - MARANGUAPE
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,708.0,12/05/2026,alimentos,MARANGUAPE
Maranguape,ENERGIA SA LTDA -,COPA ENERGIA SA,6498.42,12/05/2026,energia,ENERGIA SA LTDA - MARANGUAPE
Não identificada,DE FATIMA,POSTO NOSSA SENHORA DE FATIMA,267.12,12/05/2026,combustivel,DE FATIMA
Não identificada,TELECOMUNICACOES S.A,BRISANET SERVICOS DE TELECOMUNICACOES S.,159.99,12/05/2026,servicos,TELECOMUNICACOES S.A
Não identificada,TELECOMUNICACOES S.A,BRISANET SERVICOS DE TELECOMUNICACOES S.,102.4,12/05/2026,servicos,TELECOMUNICACOES S.A
Não identificada,TELECOMUNICACOES S.A,BRISANET SERVICOS DE TELECOMUNICACOES S.,99.99,12/05/2026,servicos,TELECOMUNICACOES S.A
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,200.0,12/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,200.0,12/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Não identificada,VEICULOS EIRELI - ME,DR AUTO CENTER PECAS PARA VEICULOS EIREL,300.0,12/05/2026,servicos,VEICULOS EIRELI - ME
Não identificada,DE ALIMENTOS LTDA,SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA,7914.14,12/05/2026,alimentos,DE ALIMENTOS LTDA
Maranguape,LTDA.,J. E. COMERCIO DE EMBALAGENS LTDA.,280.0,12/05/2026,alimentos,- MARANGUAPELTDA.
Não identificada,DE NOTAS,SOUSA CARTORIO 1º OFICIO DE NOTAS,241.0,12/05/2026,outros,DE NOTAS
Ipaumirim,INDUSTRIAL LTDA -,ED REFRIGERAÇÃO,440.0,12/05/2026,outros,INDUSTRIAL LTDA - IPAUMIRIM
Maranguape,LTDA -,CASA FREITAS,62.93,12/05/2026,outros,LTDA - MARANGUAPE
Maranguape,INDUSTRIAL LTDA -,D1 TUDO,30.0,12/05/2026,outros,INDUSTRIAL LTDA - MARANGUAPE
Maranguape,LTDA -,DANIEL COSTA CARMELINO,100.0,12/05/2026,outros,LTDA - MARANGUAPE
Cocalinho,LUIZA LTDA -,MAGAZINE LUIZA,496.16,12/05/2026,outros,LUIZA LTDA - COCALINHO
Cocalinho,LTDA -,AUTO POSTO KARAJAS,527.01,12/05/2026,combustivel,LTDA - COCALINHO
Cocalinho,LTDA -,AUTO POSTO KARAJAS,225.14,12/05/2026,combustivel,LTDA - COCALINHO
Não identificada,LTDA GRANDE,POSTO KATIA LOCATELLI LTDA,200.0,12/05/2026,combustivel,LTDA GRANDE
Cocalinho,POSTO KARAJASLTDA -,AUTO POSTO KARAJAS,325.64,12/05/2026,combustivel,POSTO KARAJASLTDA - COCALINHO
Cocalinho,PARAUNALTDA II    -,POSTO PARAUNA II,859.17,12/05/2026,combustivel,PARAUNALTDA II    - COCALINHO
Fortaleza,AZUL LINHAS AEREAS BRASILEIRAS,AZUL LINHAS AEREAS BRASILEIRAS,480.87,12/05/2026,transporte,- FORTALEZA
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,330.0,12/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Não identificada,E TURISMO,QUERO PASSAGEM VIAGEM E TURISMO,238.8,13/05/2026,transporte,E TURISMO
Luís Gomes,DO MECANICO  LTDA -,LOJA DO MECANICO,692.93,13/05/2026,outros,DO MECANICO  LTDA - LUIS GOMES
Luís Gomes,DO MECANICO  LTDA -,LOJA DO MECANICO,692.93,13/05/2026,outros,DO MECANICO  LTDA - LUIS GOMES
Luís Gomes,RENOVOLTDA -,PADARIA RENOVO,663.0,13/05/2026,alimentos,RENOVOLTDA - LUIS GOMES
Ipaumirim,JOSÉ LUIZ MOREIRA GOMES,JOSÉ LUIZ MOREIRA GOMES,888.0,13/05/2026,outros,- IPAUMIRIM
Ipaumirim,RONICLEI MARTINS DUARTE,RONICLEI MARTINS DUARTE,3124.0,13/05/2026,pessoa_fisica,- IPAUMIRIM
Não identificada,GOMES VAREJISTA,SUPERMECADO AVENIDA COMERCIO VAREJISTA,5707.22,13/05/2026,alimentos,GOMES VAREJISTA
Não identificada,GOMES VAREJISTA,SUPERMECADO AVENIDA COMERCIO VAREJISTA,98.52,13/05/2026,alimentos,GOMES VAREJISTA
Cocalinho,ALIMENTOSLTDA -,,812.0,13/05/2026,alimentos,ALIMENTOSLTDA - COCALINHO
Ipaumirim,RONICLEI MARTINS DUARTE,RONICLEI MARTINS DUARTE,777.0,13/05/2026,pessoa_fisica,- IPAUMIRIM
Cocalinho,COMERCIO A S GOIAS LTDA,COMERCIO A S GOIAS LTDA,17950.15,13/05/2026,outros,COCALINHO
Ipaumirim,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,2335.35,13/05/2026,outros,IPAUMIRIMLTDA
Ipaumirim,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,570.9,13/05/2026,outros,IPAUMIRIMLTDA
Ipaumirim,ANA BERNARDO DA SILVA,ANA BERNARDO DA SILVA,600.0,13/05/2026,outros,- IPAUMIRIM
Não identificada,GRANDE,ESTANCIA JOIA COMERCIO DE HORTIFRUT,2257.85,13/05/2026,alimentos,GRANDE
Não identificada,ALIMENTOS LTDA,VO ITA FRIOS,9625.92,13/05/2026,alimentos,ALIMENTOS LTDA
Não identificada,DE CARNES,SANTA LUZIA - ATACADO DE CARNES,1852.0,13/05/2026,alimentos,DE CARNES
Ipaumirim,LTDA -,HORTIFRUTI PAI ETERNO,145.0,13/05/2026,alimentos,LTDA - IPAUMIRIM
Não identificada,COMERCIO VAREJISTA,SUPERMECADO AVENIDA COMERCIO VAREJISTA,4877.9,13/05/2026,alimentos,COMERCIO VAREJISTA
Cocalinho,LTDA -,,5072.56,13/05/2026,outros,LTDA - COCALINHO
Não identificada,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,250.0,13/05/2026,outros,LTDA
Não identificada,S/A     GRANDE,SENDAS DISTRIBUIDORA S/A,103.76,13/05/2026,alimentos,S/A     GRANDE
Ipaumirim,LTDA,JURIAN BERNARDO DE ARAUJO LTDA,1695.75,13/05/2026,outros,IPAUMIRIMLTDA
Cocalinho,PANIFICADORA PAO GOSTOSO,PANIFICADORA PAO GOSTOSO,700.0,13/05/2026,alimentos,- COCALINHO
Fortaleza,LTDA -    DE ALIMENTO,GV DA SILVEIRA DISTRIBUIDORA DE ALIMENTO,398.38,13/05/2026,alimentos,LTDA - FORTALEZA   DE ALIMENTO
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,200.0,13/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Luís Gomes,ZARUR LTDA -,POSTO ZARUR,200.0,13/05/2026,combustivel,ZARUR LTDA - LUIS GOMES
Fortaleza,LTDA -    DE ALIMENTO,GV DA SILVEIRA DISTRIBUIDORA DE ALIMENTO,2500.09,13/05/2026,alimentos,LTDA - FORTALEZA   DE ALIMENTO
Não identificada,CRISTO,WELLITON DOS SANTOS CRISTO,260.86,13/05/2026,outros,CRISTO
Ipaumirim,FIOS     LTDA -,ELETRO FIOS,37.68,13/05/2026,energia,FIOS     LTDA - IPAUMIRIM
Não identificada,R. DIAS LEITE COMERCIO,SUPERMERCADO VITORIA R. DIAS LEITE COMER,1999.2,13/05/2026,alimentos,R. DIAS LEITE COMERCIO
Maranguape,PANIFICADORA SANTA TEREZINHA,PANIFICADORA SANTA TEREZINHA,708.0,13/05/2026,alimentos,MARANGUAPE
Não identificada,JUNIOR,JOSE BALTAZAR DE SALES JUNIOR,1524.0,13/05/2026,pessoa_fisica,JUNIOR
